厂名,注册资本,地址,产品,批准编号
宁波均胜科技有限公司,61,000万(元),浙江省宁波市高新区聚贤路1266号,一次性使用医用口罩,浙械注准20202141038
宁波健翔包装材料科技有限公司,268万(元),浙江省宁波市宁海县桃源街道妙峰路19-2号,医用外科口罩,浙械注准20202141067
宁波健翔包装材料科技有限公司,268万(元),浙江省宁波市宁海县桃源街道妙峰路19-2号,一次性使用医用口罩,浙械注准20202141066
宁夏泉水药业有限公司,150万(元),银川市滨河新区水润东路1号,医用外科口罩,宁械注准20202140001
宁夏泉水药业有限公司,150万(元),银川市滨河新区水润东路1号,一次性使用医用口罩,宁械注准20202140002
婴舒宝(中国)有限公司,1,000万(美元),福建省泉州市晋江市经济开发区(食品园)智造大道,一次性使用医用口罩(非无菌型),闽械注准20202140016（临时）
威海鸿宇无纺布制品有限公司,2,000万(元),威海经技区浦东路-9-1、-9-10号,医用外科口罩,鲁械注准20142140149
威海盛洁医疗科技有限公司,1,000万(元),山东省威海市火炬高技术产业开发区初河南路-58-3号,医用防护口罩,鲁械注准20202140250
威海盛洁医疗科技有限公司,1,000万(元),山东省威海市火炬高技术产业开发区初河南路-58-3号,医用外科口罩,鲁械注准20192140160
威海恒瑞新型包装材料有限公司,572.7272万(元),山东省威海市高区初村镇石海街29号,一次性使用医用外科口罩,鲁械注准20202140274
威海威高医用材料有限公司,663万(元),山东省威海市旅游度假区东鑫路30号,医用外科口罩,鲁械注准20202140113
奥美医疗用品股份有限公司,42,217.6938万(元),1、枝江市马家店公园路180号；2、枝江市马家店友谊大道76号；3、枝江市马家店金山路99号。,医用外科口罩,鄂械注准20162642263
奥美医疗用品股份有限公司,42,217.6938万(元),枝江市马家店公园路180号,一次性使用医用口罩,鄂械注准20172642430
奉化市康家乐医疗器械有限公司,700万(元),-,医用防护口罩,浙械注准20162641055
奉化市康家乐医疗器械有限公司,700万(元),-,医用外科口罩,浙械注准20172640186
奉化市康家乐医疗器械有限公司,700万(元),-,普通医用口罩,浙械注准20172640177
天长市科惠医疗用品有限公司,100万(元),安徽省天长市石梁镇经十六路2号,一次性使用医用口罩,皖械注准20202140028
天长市康特美防护用品有限公司,100万(元),安徽省天长市石梁镇天汊路818号,一次性使用医用口罩,皖械注准20202140027
天长市安瑞医疗器械有限公司,100万(元),天长市仁和集镇仁和社区洼塘队,一次性使用医用口罩,皖械注准20202140088
天长市东安防护用品有限公司,100万(元),天长市石梁镇富民路2号,一次性使用医用口罩,皖械注准20202140029
天津骏发森达卫生用品有限公司,600万(元),天津市宝坻经济开发区宝旺道17号,一次性使用医用口罩,津械注准20202140842
天津长荣健康科技有限公司,1,000万(元),天津市北辰区永兴道102号,一次性使用医用口罩,津械注准20202140814
天津金衫易德塑料包装有限责任公司,1,000万(元),天津市静海经济开发区物海道3号,医用外科口罩,津械注准20202140872
天津金衫易德塑料包装有限责任公司,1,000万(元),天津市静海经济开发区物海道3号,一次性医用口罩,津械注准20202140871
天津诺泽医疗科技有限公司,500万(元),天津市津南区八里台镇科达三路16号,一次性医用外科口罩,津械注准20202140830
天津英诺美迪医疗技术有限公司,1,000万(元),天津市东丽开发区16号15号楼101室,一次性使用医用口罩,津械注准20202140818
天津维业金属制品有限公司,868万(元),天津滨海新区中塘镇中塘工业区永兴路与中福路交口西侧220米,一次性使用医用口罩,津械注准20202140862
天津盛和爱众医疗技术有限公司,500万(元),天津经济技术开发区第四大街80号天大科技园C3,一次性医用外科口罩,津械注准20202140856
天津盛和爱众医疗技术有限公司,500万(元),天津经济技术开发区第四大街80号天大科技园C3,一次性使用医用口罩,津械注准20202140857
天津百诺环球印刷有限公司,1,000万(元),天津市北辰区天津医药医疗器械工业园22号（62-2）,一次性使用医用口罩,津械注准20202140837
天津百益尔康保健用品有限公司,204.08万(元),天津市北辰区宜兴埠镇津围公路东（宜兴埠工业园七街98号健康产业园）,一次性使用医用口罩,津械注准20202140858
天津源著新材料科技有限公司,2,500万(元),天津经济技术开发区（南港工业区）中区纺四路3号厂房，4号厂房,一次性医用外科口罩,津械注准20202140826
天津源著新材料科技有限公司,2,500万(元),天津经济技术开发区（南港工业区）中区纺四路3号厂房，4号厂房,一次性使用医用口罩,津械注准20202140880
天津泰达洁净材料有限公司,8,000万(元),天津经济技术开发区西区新业七街45号,一次性医用防护口罩,津械注准20202140811
天津汉帮科技有限公司,500万(元),天津市西青区杨柳青镇柳口路98号26-1-401号,一次性医用外科口罩,津械注准20202140869
天津正天医疗器械有限公司,10,000万(元),天津空港经济区经一路318号;天津空港经济区航宇路26号 B区厂房生产车间一层西侧和三层西侧,医用外科口罩,津械注准20202140810
天津朗康生物科技有限公司,2,000万(元),天津市西青经济技术开发区赛达一大道15号-2,一次性使用医用口罩,津械注准20202140846
天津施特雷生物科技股份有限公司,600万(元),天津市津南区双港工业区丽港园25号-1-201,一次性医用外科口罩,津械注准20202140876
天津新纶科技有限公司,10,000万(元),天津经济技术开发区轻纺经济区轻二街721号,一次性使用医用口罩,津械注准20202140823
天津斯曼尔生物科技有限公司,500万(元),天津市津南区双港镇慧科路7号Ｂ座（二、三、四、五楼车间）,一次性使用医用口罩,津械注准20202140817
天津斯曼尔生物科技有限公司,500万(元),天津市津南区双港镇慧科路7号Ｂ座（二、三、四、五楼车间）,一次性医用外科口罩,津械注准20202140815
天津康泽医疗器械有限公司,500万(元),天津市武清区京津科技谷产业园高王路西侧2号孵化器4号楼,一次性使用医用口罩,津械注准20202140849
天津广邦医药用品制造有限公司,600万(元),天津市静海区沿庄镇张庄子村委会北300米,一次性使用医用口罩,津械注准20202140873
天津市首航洁能科技有限公司,1,000万(元),天津市宝坻九园工业园区兴安道8号,一次性使用医用口罩,津械注准20202140845
天津市韩东纸业有限公司,700万(元),天津市北辰区天津北辰经济技术开发区北辰科技园高新大道景顺路12号,一次性使用医用口罩,津械注准20202140843
天津市远航工贸发展有限公司,50万(元),-,一次性医用防护口罩,津械注准20172640203
天津市远航工贸发展有限公司,50万(元),-,一次性医用外科口罩,津械注准20172640204
天津市赛远科技有限公司,-,天津自贸试验区（空港经济区）中心大道东九道18号,一次性医用外科口罩,津械注准20202140808
天津市蓝航医疗科技有限公司,1,000万(元),天津市津南区八里台镇科达二路8号,一次性医用外科口罩,津械注准20202140813
天津市舒康医药科技有限公司,2,000万(元),天津市武清区泉旺路28号,一次性使用医用口罩,津械注准20202140867
天津市耀宇科技有限公司,2,000万(元),天津市东丽区华明高新技术产业区弘晟道2号1号楼,一次性医用外科口罩,津械注准20202140829
天津市易盛纸制品有限公司,-,天津市武清区黄花店镇八里桥村东,一次性使用医用口罩,津械注准20202140825
天津市新中医疗器械有限公司,-,天津北辰科技园区津围公路东侧,一次性使用医用口罩,津械注准20202140828
天津市康宏医疗器械有限公司,500万(元),1.北辰科技园区宜兴埠2.北辰科技园区宜兴埠第二生产车间,医用外科口罩,津械注准20202140804
天津市康宏医疗器械有限公司,500万(元),1.北辰科技园区宜兴埠2.北辰科技园区宜兴埠第二生产车间,一次性使用医用口罩,津械注准20202140803
天津市康宏医疗器械有限公司,500万(元),1.北辰科技园区宜兴埠2.北辰科技园区宜兴埠第二生产车间3.北辰科技园区宜兴埠第四生产车间,医用防护口罩,津械注准20202140875
天津市宝坻区美洁卫生制品有限公司,490万(元),天津市宝坻经济开发区宝新工业园,一次性使用医用口罩,津械注准20202140878
天津市奥博丰源医疗器械有限公司,1,000万(元),天津市宁河区经济开发区五纬路12号,一次性使用医用口罩,津械注准20202140847
天津市天健科贸有限公司,1,000万(元),天津市津南区八里台泰达（津南）微电子工业区科达一路14号,一次性医用外科口罩,津械注准20202140801
天津市博爱生物药业有限公司,4,000万(元),天津市静海经济开发区南区科技大道13号,一次性使用医用口罩,津械注准20202140852
天津市卓锐安全防护用品有限公司,1,050万(元),唐山市开平区越河镇开越路新华道交叉口南行100米路西,医用防护口罩,冀械注准20202140094
天津市卓锐安全防护用品有限公司,1,050万(元),唐山市开平区越河镇开越路新华道交叉口南行100米路西,医用防护口罩,冀械注准20202140070
天津市健缘德医药科技有限公司,100万(元),天津市武清区上马台镇上马台村,一次性使用医用口罩,津械注准20202140824
天津富棽科技有限公司,500万(元),天津西青学府工业区学府西路1号东区D7厂房A座201,一次性使用医用口罩,津械注准20202140840
天津富棽科技有限公司,500万(元),天津西青学府工业区学府西路1号东区D7厂房A座201,一次性医用外科口罩,津械注准20202140841
天津奥尚户外装备有限公司,300万(元),天津市红桥区湘潭道23号C-1-106,一次性使用医用口罩,津械注准20202140832
天津天德蓝生物科技有限公司,3,000万(元),天津市西青经济技术开发区赛达工业园12号B座-1,一次性使用医用口罩,津械注准20202140860
天津天德蓝生物科技有限公司,3,000万(元),天津市西青经济技术开发区赛达工业园12号B座-1,一次性使用医用外科口罩,津械注准20202140859
天津吉捷商务咨询有限公司,1,000万(元),天津市华苑产业区（环外）海泰华科一路3号二号厂房二层201室,一次性使用医用口罩,津械注准20202140870
天津博真卫生用品有限公司,5,000万(元),天津市西青经济技术开发区赛达一大道15号,医用外科口罩,津械注准20202140874
天津博真卫生用品有限公司,5,000万(元),天津市西青经济技术开发区赛达一大道15号,医用防护口罩,津械注准20202140812
天津伊腾圣杰医疗器械有限公司,800万(元),北辰区北仓镇铁东路东三义村东北（光华电器设备厂内）,一次性医用外科口罩,津械注准20202140833
天津伊利威达制衣有限公司,5,000万(元),天津市东丽区新立街津塘公路南中河东300米处,一次性使用医用口罩,津械注准20202140816
天津中腾华盛科技有限公司,1,000万(元),天津宁河现代产业园区海航西路5号,一次性使用医用口罩,津械注准20202140820
天津中腾华盛科技有限公司,1,000万(元),天津宁河现代产业园区海航西路5号,医用外科口罩,津械注准20202140821
大连精准医疗器械有限公司,500万(元),辽宁省大连中国（辽宁）自由贸易试验区大连保税区海环街,医用外科口罩,辽械注准20202140037
大连精准医疗器械有限公司,500万(元),辽宁省大连中国（辽宁）自由贸易试验区大连保税区海环街35-2号一楼,医用外科口罩,辽械注准20202140038
大连精准医疗器械有限公司,500万(元),辽宁省大连中国（辽宁）自由贸易试验区大连保税区海环街35-2号一楼,一次性使用医用口罩,辽械注准20202140036
大连海龙骨科器械有限公司,5,000万(元),辽宁省大连市旅顺口区盐北路321-2号,一次性使用医用口罩,辽械注准20202140052
大连海龙骨科器械有限公司,5,000万(元),辽宁省大连市旅顺口区盐北路321-2号,医用外科口罩,辽械注准20202140051
大庆美龙服装股份合作公司,160万(元),黑龙江省大庆市龙凤区龙凤大街184号,一次性使用医用口罩,黑械临注20202140041
多凌洁净空气科技有限公司,5,000万(元),嘉兴市港区乍浦镇陈山村沪杭公路北侧（多凌控股集团有限公司内3幢）,医用防护口罩,浙械注准20202141024
圣光医用制品股份有限公司,31,419万(元),平顶山市郏县龙山大道东段,医用防护口罩,豫械注准20182140825
圣光医用制品股份有限公司,31,419万(元),平顶山市郏县龙山大道东段,一次性使用医用口罩,豫械注准20182140821
圣光医用制品股份有限公司,31,419万(元),平顶山市郏县龙山大道东段,一次性使用口罩、帽,豫械注准20182140822
圣光医用制品有限公司,31,419万(元),-,医用防护口罩,豫械注准20152640715
圣光医用制品有限公司,31,419万(元),平顶山市郏县城关镇龙山大道东段,医用外科口罩,豫械注准20162640236
圣光医用制品有限公司,31,419万(元),-,一次性使用医用口罩,豫械注准20152640713
圣光医用制品有限公司,31,419万(元),-,一次性使用口罩、帽,豫械注准20152640773
国药控股医学检验（天津）有限公司,3,500万(元),天津市河西区怒江道8号南京理工大学北方研究院产业化基地五楼东侧,一次性使用医用口罩,津械注准20202140864
国药控股医学检验（天津）有限公司,3,500万(元),天津市河西区怒江道8号南京理工大学北方研究院产业化基地五楼东侧,一次性医用外科口罩,津械注准20202140863
四川蓉康世圣药业有限责任公司新都分公司,-,成都市新都区三河街道互助社区二社,一次性使用医用口罩,川械注应急准20202140029
四川艾医生医疗科技有限公司,2,700万(元),成都市温江区成都海峡两岸科技产业开发园永盛镇永科路333号,医用外科口罩,川械注应急准20202140013
四川省遂宁市康达卫生材料有限公司,1,200万(元),遂宁市创新工业园区南津南路14号,一次性使用医用口罩,川械注应急准20202140002
四川省遂宁市康达卫生材料有限公司,1,200万(元),遂宁市创新工业园区南津南路14号,医用外科口罩,川械注应急准20202140011
四川省巴中市向往科技开发有限公司,55万(元),四川省巴中市恩阳区恩阳镇工业园（二厂区）03号,一次性使用医用口罩,川械注应急准20202140041
四川省伊洁士医疗科技有限公司,5,000万(元),四川省德阳市广汉市小汉工业园区,一次性使用医用口罩,川械注应急准20202140026
四川省乐至贵均卫生材料有限公司,5,600万(元),乐至县天池镇西郊工业园区,一次性使用医用口罩,川械注准20182640041
四川海汇药业有限公司,15,000万(元),中国（四川）自由贸易试验区成都市双流区西航港大道中四段2899号3幢、6幢,医用防护口罩,川械注应急准20202140012
四川杏林医疗器械有限公司,3,600万(元),泸县玉蟾街道怡园路西段5号1-4幢,医用外科口罩,川械注应急准20202140005
四川杏林医疗器械有限公司,3,600万(元),泸县玉蟾街道怡园路西段5号1-4幢,一次性使用医用口罩,川械注应急准20202140006
四川普瑞斯生物科技有限公司,1,018万(元),宜宾市南溪区南溪经济开发区普瑞斯路2号,医用防护口罩,川械注应急准20202140015
四川普瑞斯生物科技有限公司,1,018万(元),宜宾市南溪区罗龙工业园区普瑞斯路2号,医用外科口罩,川械注应急准20202140034
四川普瑞斯生物科技有限公司,1,018万(元),宜宾市南溪区罗龙工业园区普瑞斯路2号,一次性使用医用口罩,川械注应急准20202140033
四川恒明科技开发有限公司,1,008万(元),四川省彭州工业开发区天彭镇旌旗西路39号,医用外科口罩,川械注应急准20202140010
四川恒明科技开发有限公司,1,008万(元),四川省彭州工业开发区天彭镇旌旗西路39号4#、8#,一次性使用医用口罩,川械注准20182640048
四川康博医疗器械有限公司,300万(元),-,一次性使用无菌医用外科口罩,川械注准20172640062
四川康博医疗器械有限公司,300万(元),四川省眉山市彭山区青龙镇龙都南二路1号1栋,一次性使用医用口罩,川械注准20202140018
四川山岳生物科技有限公司,100万(元),四川省资阳市现代大道3号A栋四层D、E、F区,医用外科口罩,川械注应急准20202140044
四川安岚医疗科技有限公司,2,000万(元),四川省眉山经济开发区新区（西部药谷）,医用外科口罩,川械注应急准20202140031
四川安岚医疗科技有限公司,2,000万(元),四川省眉山经济开发区新区（西部药谷）,一次性使用医用口罩,川械注应急准20202140030
四川好医生攀西药业有限责任公司,13,000万(元),西昌市机场路,一次性使用医用口罩,川械注应急准20202140039
四川太极医疗器械有限公司,3,000万(元),四川省南充市西充县多扶工业园区,一次性使用医用口罩,川械注应急准20202140040
四川双陆医疗器械有限公司,2,000万(元),天府新区仁寿视高经济开发区兴园路,医用外科口罩,川械注应急准20202140025
四川双陆医疗器械有限公司,2,000万(元),天府新区仁寿视高经济开发区兴园路,一次性使用医用口罩,川械注应急准20202140024
四川双新制药有限公司,6,788万(元),成都双流西南航空港经济开发区空港二路361号,一次性使用医用口罩,川械注应急准20202140032
四川友邦企业有限公司,500万(元),-,医用外科口罩,川械注准20172640091
四川友邦企业有限公司,500万(元),-,一次性医用防护口罩,川械注准20172640092
四川制药制剂有限公司,-,四川省成都市高新西区百叶路18号,医用外科口罩,川械注应急准20202140023
四川制药制剂有限公司,8,000万(元),四川省成都市高新西区百叶路18号,一次性使用医用口罩,川械注应急准20202140022
四川三和医用材料有限公司,500万(元),成都市金堂县赵镇金广路,医用外科口罩,川械注应急准20202140018
四川三和医用材料有限公司,500万(元),成都市金堂县赵镇金广路,一次性使用医用口罩,川械注应急准20202140017
哈药集团制药总厂,-,黑龙江省哈尔滨市南岗区学府路109号,医用防护口罩,黑械临注20202140010
哈药集团制药总厂,-,黑龙江省哈尔滨市南岗区学府路109号,一次性使用医用外科口罩,黑械临注20202140007
哈尔滨皓威伟业科技发展有限公司,8,096万(元),哈尔滨利民开发区沈阳大街哈尔滨医科大学科技园,医用防护口罩,黑械临注20202140025
哈尔滨泰谷实业有限公司,100万(元),-,一次性使用无菌口罩,黑械注准20172640090
哈尔滨市金龙卫生材料厂,95万(元),哈尔滨市道里区新农镇后肖家,一次性使用医用口罩,黑械临注20202140011
哈尔滨市金龙卫生材料厂,95万(元),哈尔滨市道里区新农镇后肖家,一次性使用医用外科口罩,黑械临注20202140030
哈尔滨市天使卫生材料厂,-,-,一次性使用医用口罩,黑械注准20172640046
哈尔滨市天使卫生材料厂,-,-,一次性使用无菌医用外科口罩,黑械注准20172640047
哈尔滨工大技术转移有限公司,750万(元),哈尔滨市开发区迎宾路集中区天平路2号,医用防护口罩,黑械临注20202140014
哈尔滨工大技术转移有限公司,750万(元),哈尔滨市开发区迎宾路集中区天平路2号,一次性使用医用口罩,黑械临注20202140015
哈尔滨启蕴医疗科技有限公司,2,000万(元),哈尔滨经开区哈平路集中区烟台一路8号1栋,一次性使用医用口罩,黑械临注20202140018
哈尔滨吉圣科技发展有限公司医疗器械分公司,-,-,一次性使用医用口罩,黑械注准20182640022
哈尔滨吉圣科技发展有限公司医疗器械分公司,-,-,一次性使用医用外科口罩,黑械注准20182640018
哈尔滨丁香医疗器械有限公司,1,090万(元),哈尔滨市道里区变兴路－3号,医用外科口罩,黑械临注20202140034
哈尔滨丁香医疗器械有限公司,1,090万(元),哈尔滨市道里区变兴路－3号,一次性使用医用口罩,黑械临注20202140033
咸宁爱科医疗用品有限公司,600万(元),咸宁高新技术产业园区书台街16号,一次性医用口罩,鄂械注准20112141579
咸宁爱科医疗用品有限公司,600万(元),咸宁高新技术产业园区书台街16号,医用外科口罩,鄂械注准20202142884
咸宁爱科医疗用品有限公司,600万(元),咸宁高新技术产业园区书台街16号,医用防护口罩,鄂械注准20202142891
咸宁爱科医疗用品有限公司,600万(元),咸宁高新技术产业园区书台街16号,一次性医用口罩,鄂械注准20112641579
咸宁兆舒美防护用品有限公司,250万(元),咸宁高新技术产业园区龟山路30号,一次性使用医用口罩,鄂械注准20202142893
呼和浩特市欣龙康医疗器械有限责任公司,50万(元),呼和浩特市新城区海拉尔东街5号,一次性使用医用口罩,内械注准20202140008
呼和浩特市欣龙康医疗器械有限责任公司,50万(元),呼和浩特市新城区海拉尔东街5号,医用外科口罩,内械注准20202140035
呼和浩特市欣龙康医疗器械有限责任公司,50万(元),呼和浩特市新城区海拉尔东街5号,医用外科口罩,内械注准20202140034
呼和浩特市欣龙康医疗器械有限责任公司,50万(元),呼和浩特市新城区海东路5号,一次性使用医用口罩,内械注准20182640008
呼伦贝尔松鹿制药有限公司,4,935万(元),内蒙古扎兰屯市向民街1号,一次性使用医用口罩,内械注准20202140041
吴江康洁医用材料有限公司,1,000万(元),苏州市吴江区震泽镇齐心村,医用护理口罩,苏械注准20152641394
吴江市亿成医疗器械有限公司,1,080万(元),吴江市黎里镇北厍大义开发区,一次性使用医用口罩,苏械注准20162640249
吴江市亿成医疗器械有限公司,1,080万(元),吴江市黎里镇北厍大义开发区,一次性使用医用外科口罩,苏械注准20162640999
吉林弗朗医疗科技有限公司,2,500万(元),-,医用纱布口罩,吉械注准20162640263
吉林弗朗医疗科技有限公司,2,500万(元),-,一次性医用口罩,吉械注准20152640161
吉林市友华卫生材料厂,-,-,医用外科口罩,吉械注准20162640271
吉林市友华卫生材料厂,-,-,一次性医用口罩,吉械注准20162640275
合肥迅达南山药业有限公司,-,合肥市包河区天津路28号,一次性使用医用口罩,皖械注准20202140076
合肥美迪普医疗卫生用品有限公司,1,500万(元),合肥市新站区新站工业园星火路8号,一次性使用普通医用口罩,皖械注准20202140015
合肥美迪普医疗卫生用品有限公司,1,500万(元),-,一次性使用普通医用口罩,皖械注准20152640049
合肥洁尔卫生新材料有限公司,-,合肥市肥东县经济开发区纬一路,一次性使用医用口罩,皖械注准20202140026
双驰实业股份有限公司,-,仙游县仙港大道瑞峰工业区(元生智汇)A04栋,一次性使用医用口罩(非无菌型),闽械注准20202140161（临时）
厦门鹰君药业有限公司,1,000万(元),厦门市同安区西柯轻工业园美禾三路220-228号2号楼二层,一次性使用医用口罩(非无菌型),闽械注准20202140193（临时）
厦门蓝星企业有限公司,22万(美元),厦门市海沧区东孚大道2875号4号厂房4层东侧,医用防护口罩,闽械注准20172640022
厦门蓝星企业有限公司,-,厦门市海沧区东孚大道2875号1号厂房4层北侧,一次性使用医用外科口罩,闽械注准20162640175
厦门蓝星企业有限公司,22万(美元),厦门市海沧区东孚大道2875号4号厂房4层东侧,一次性使用医用外科口罩,闽械注准20172640023
厦门美润无纺布股份有限公司,5,803.6万(元),厦门市同安区集安路6号1栋2层A区、4层,医用防护口罩,闽械注准20182640084
厦门美润医疗科技有限公司,2,000万(元),厦门市同安区集安路6号一号厂房四楼及二楼A区,医用防护口罩(无菌型和非无菌型),闽械注准20202140028（临时）
厦门美润医疗科技有限公司,-,厦门市同安区集安路6号一号厂房四楼及二楼A区,一次性使用医用外科口罩(无菌型和非无菌型),闽械注准20202140027（临时）
厦门美润医疗科技有限公司,2,000万(元),厦门市同安区集安路6号一号厂房四楼及二楼A区,一次性使用医用口罩(无菌型和非无菌型),闽械注准20202140026（临时）
厦门护润医疗科技有限公司,1,000万(元),厦门市海沧区翁角西路2056号生物医药产业园4号楼第3层02单元、第4层03单元,医用外科口罩(无菌型和非无菌型),闽械注准20202140174（临时）
厦门护润医疗科技有限公司,1,000万(元),厦门市海沧区翁角西路2056号生物医药产业园4号楼第3层02单元、第4层03单元,一次性使用医用口罩(无菌型和非无菌型),闽械注准20202140150（临时）
厦门市添孚卫生科技有限公司,600万(元),福建省厦门市同安区福明西二路19号(1#厂房)4层,医用防护口罩(无菌型和非无菌型),闽械注准20202140031（临时）
厦门市添孚卫生科技有限公司,600万(元),福建省厦门市同安区福明西二路19号(1#厂房)4层,一次性使用医用口罩(无菌型和非无菌型),闽械注准20202140029（临时）
厦门市添孚卫生科技有限公司,600万(元),福建省厦门市同安区福明西二路19号(1#厂房)4层,一次性使用医用外科口罩(无菌型和非无菌型),闽械注准20202140030（临时）
厦门市朗星节能照明股份有限公司,3,639万(元),厦门火炬高新区(翔安)产业区同龙二路591#401单元,一次性使用医用口罩(非无菌型),闽械注准20202140167（临时）
厦门市康保无尘科技有限公司,1,500万(元),厦门市同安区洪塘镇埔后村洪塘路757号,一次性使用医用口罩(非无菌型),闽械注准20202140037（临时）
厦门市奕安防护用品有限公司,500万(元),厦门市同安区圳南三路79-85号(3#厂房)三楼,医用外科口罩(无菌型和非无菌型),闽械注准20202140006（临时）
厦门市奕安防护用品有限公司,500万(元),厦门市同安区圳南三路79-85号(3#厂房)三楼,一次性使用医用口罩(无菌型和非无菌型),闽械注准20202140032（临时）
卡宾服饰(中国)有限公司,5,000万(香港元),福建省泉州市石狮市宝盖镇宋塘路758号,一次性使用医用口罩(非无菌型),闽械注准20202140149（临时）
南阳市久康医疗器械有限公司,2,277万(元),南阳市九龙路88号,医用外科口罩,豫械注准20202140700
南阳市久康医疗器械有限公司,2,277万(元),南阳市九龙路88号,一次性使用医用口罩,豫械注准20202140701
南通汇优洁医用材料有限公司,6,588.15万(元),江苏省海安县海安镇开元大道100-1号,一次性使用医用口罩,苏械注准20182640749
南核安全装备（浙江）有限公司,1,000万(元),浙江省衢州市衢江区廿里镇圣效大道3号,医用防护口罩,浙械注准20202141004
南昌飞翔乳胶制品有限公司,600万(元),江西进贤李渡北田工业区,一次性使用口罩,赣械注准20192140261
南昌飞翔乳胶制品有限公司,600万(元),江西省南昌市进贤县李渡镇北田工业区,医用外科口罩,赣械注准20172640027
南昌裕华医疗器械有限公司,139万(元),江西省南昌市进贤县南工业园区,医用外科口罩,赣械注准20202140069
南昌裕华医疗器械有限公司,139万(元),南昌市进贤县李渡镇南工业园区,一次性使用口罩,赣械注准20182640082
南昌翔翊医疗器械有限公司,880万(元),南昌市进贤县李渡镇,一次性使用口罩,赣械注准20192140022
南昌翔翊医疗器械有限公司,880万(元),南昌市进贤县李渡镇,医用外科口罩,赣械注准20162640039
南昌翔翊医疗器械有限公司,880万(元),南昌市进贤县李渡镇,一次性使用口罩帽子,赣械注准20162640037
南昌益民医用卫生材料有限公司,-,南昌市进贤县李渡世纪大道,一次性使用口罩,赣械注准20182640081
南昌爱博医疗器械有限公司,500万(元),江西省南昌市进贤县李渡大道112号,一次性使用口罩,赣械注准20152640124
南昌爱博医疗器械有限公司,500万(元),江西省进贤县李渡大道112号,一次性使用口罩帽子,赣械注准20152640123
南昌永德利医疗器械有限公司,450万(元),江西省南昌市进贤县李渡镇鲤湖南工业园区,一次性使用口罩,赣械注准20152640077
南昌振丰医疗器械有限公司,288.8万(元),南昌市进贤县李渡镇李渡大道68号,一次性使用口罩,赣械注准20182640079
南昌康平医用器材有限公司,-,南昌进贤县温圳工业区,一次性使用口罩,赣械注准20192140294
南昌市通达医疗器械有限公司,208万(元),南昌市进贤县长山乡,医用外科口罩,赣械注准20202140057
南昌市通达医疗器械有限公司,-,南昌市进贤县长山乡,一次性使用口罩,赣械注准20152640246
南昌市通达医疗器械有限公司,-,南昌市进贤县长山乡,一次性使用口罩帽子,赣械注准20152640243
南昌市福康医疗器械有限公司,1,000万(元),南昌市进贤县李长路18号,一次性使用口罩,赣械注准20192140343
南昌市爱益卫生材料有限公司,50万(元),江西省南昌市进贤县长山工业开发区,一次性使用口罩,赣械注准20152640189
南昌市朝阳医疗保健用品有限公司,850万(元),进贤县温圳镇温福工业园,医用防护口罩,赣械注准20162640087
南昌市朝阳医疗保健用品有限公司,850万(元),进贤县温圳镇前进大道383号、进贤县温圳镇温福工业园,医用外科口罩,赣械注准20202140018
南昌市旭辉医疗器械有限公司,528万(元),南昌市进贤县李渡世纪大道216号,一次性使用口罩,赣械注准20202140017
南昌市意尔康医疗器械有限公司,2,000万(元),江西省南昌市进贤县长山工业园区,医用外科口罩,赣械注准20162640222
南昌市意尔康医疗器械有限公司,2,000万(元),江西省南昌市进贤县长山工业园区,一次性使用医用口罩,赣械注准20162640223
南昌市惠临医疗器械有限公司,50万(元),南昌市进贤县长山工业园区,一次性使用口罩,赣械注准20172640217
南昌市恩惠医用卫生材料有限公司,320万(元),江西省南昌市进贤县李渡镇李渡大道,医用外科口罩,赣械注准20202140024
南昌市恩惠医用卫生材料有限公司,320万(元),江西省南昌市进贤县李渡镇李渡大道,医用防护口罩,赣械注准20202140033
南昌市恩惠医用卫生材料有限公司,320万(元),南昌市进贤县李渡大道,一次性使用医用口罩（医用普通口罩）,赣械注准20182640075
南昌市恒康医疗器械有限公司,668万(元),江西省南昌市进贤县长山乡李长路中段,医用外科口罩,赣械注准20202140078
南昌市恒康医疗器械有限公司,668万(元),江西省进贤县长山乡李长路中段,一次性使用口罩,赣械注准20192140149
南昌市恒康医疗器械有限公司,668万(元),江西省进贤县长山乡李长路中段,一次性使用口罩帽子,赣械注准20192140148
南昌市德美康医疗器械有限公司,520万(元),江西省南昌市进贤县李渡松山工业园区,医用外科口罩,赣械注准20202140079
南昌市德美康医疗器械有限公司,520万(元),南昌市李渡松山工业园区,一次性使用口罩,赣械注准20182640046
南昌市康洁医用卫生用品有限公司,588万(元),南昌市进贤县李渡镇世纪大道,医用外科口罩,赣械注准20202140103
南昌市康洁医用卫生用品有限公司,588万(元),南昌市进贤县李渡镇世纪大道,一次性使用口罩,赣械注准20192140304
南昌市康圣医疗器械有限公司,350万(元),进贤县长山乡墩上,一次性使用口罩帽子,赣械注准20162640173
南昌市康华卫材有限公司,568万(元),进贤县医疗器械科技园月光大道,医用外科口罩,赣械注准20202140048
南昌市康华卫材有限公司,568万(元),进贤县医疗器械科技园月光大道,一次性使用医用口罩,赣械注准20202140049
南昌市富达医疗器械有限公司,668万(元),江西省南昌市进贤县长山李长路128号,医用外科口罩,赣械注准20202140100
南昌市奥康医疗器械有限公司,600万(元),南昌市进贤县长山街新居,医用外科口罩,赣械注准20202140063
